stamp_s,x_m,y_m,yaw_rad,ot_overlap
11.699999738,89631.4163,43127.8085,-3.9401511186770985e-07,0
11.799999736,89631.4161,43127.8085,-3.7762668969869454e-07,0
11.849999735,89631.4164,43127.8085,-3.733205360642521e-07,0
11.999999731,89631.4163,43127.8085,1.0685312502933775,0
12.099999729,89631.41619999999,43127.808600000004,1.860036155019036,0
12.199999727,89631.41619999999,43127.8084,2.216158853909138,0
12.299999725,89631.4084,43127.8163,2.2157978085184045,0
12.349999723,89631.4084,43127.8242,2.215324712130184,0
12.449999721,89631.3929,43127.843700000005,2.213275509498202,0
12.549999719,89631.377,43127.871,2.208318532538376,0
12.599999718,89631.3693,43127.886600000005,2.2045081131532958,0
12.699999716,89631.3381,43127.921800000004,2.194882608731382,0
12.749999715,89631.3304,43127.9413,2.1880267998638003,0
12.799999713,89631.3144,43127.9646,2.1796697964930765,0
12.999999709,89631.2442,43128.070400000004,2.1450800270620087,0
13.099999707,89631.2054,43128.132900000004,2.124966581538029,0
13.149999706,89631.1896,43128.1679,2.1162485735655445,0
13.249999703,89631.1427,43128.246,2.0974658755376137,0
13.299999702000001,89631.1196,43128.2852,2.087835056163178,0
13.349999701,89631.0959,43128.3282,2.0797246332678103,0
13.3999997,89631.0724,43128.3749,2.0719370295579584,0
13.499999698,89631.0257,43128.4725,2.0544045214412185,0
13.549999697,89630.9942,43128.5232,2.045834410125959,0
13.599999696,89630.9709,43128.5781,2.0390718660702456,0
13.699999693,89630.9161,43128.695400000004,2.0242165146279003,0
13.749999692,89630.885,43128.7578,2.0167673319291954,0
13.799999691,89630.8615,43128.8202,2.0091057890114192,0
13.949999688,89630.7679,43129.023400000005,1.9899736423616408,0
13.999999687,89630.7364,43129.0936,1.985205969100959,0
14.099999684,89630.6739,43129.2459,1.976315571414265,0
14.149999683,89630.6429,43129.3243,1.9726371407377068,0
14.199999682,89630.6114,43129.4063,1.9690876620966566,0
14.29999968,89630.549,43129.570400000004,1.9639311569503175,0
14.349999679,89630.5179,43129.6561,1.9619818910432845,0
14.399999678,89630.4786,43129.7459,1.9600893963012027,0
14.449999677,89630.4475,43129.836,1.9595066371775947,0
14.499999675,89630.4084,43129.9297,1.9586312708403029,0
14.599999673,89630.3381,43130.121,1.9586914413629049,0
14.649999672,89630.2989,43130.2186,1.9597931148811099,0
14.699999671,89630.2599,43130.3165,1.9613062701701287,0
14.799999669,89630.1819,43130.5233,1.9659128360422444,0
14.949999665,89630.0567,43130.8474,1.9781357154414965,0
14.999999664,89630.01,43130.961,1.9839573588795039,0
15.099999662,89629.9161,43131.1875,1.9963279596193961,0
15.19999966,89629.8224,43131.425500000005,2.0103505482833883,0
15.249999659,89629.768,43131.5429,2.017513919982735,0
15.299999658,89629.713,43131.6679,2.024527435037528,0
15.399999655,89629.5959,43131.913700000005,2.038385214744402,0
15.449999654,89629.5334,43132.0391,2.0464041678160454,0
15.499999653,89629.4709,43132.1679,2.055591304609111,0
15.599999651000001,89629.3379,43132.4259,2.0743013447496463,0
15.699999649,89629.1974,43132.687600000005,2.089097435133306,0
15.749999647,89629.1272,43132.8242,2.0963578092663337,0
15.799999646,89629.0489,43132.9571,2.103623942882792,0
15.949999643,89628.8146,43133.3671,2.1185281994964704,0
16.049999641,89628.6427,43133.644400000005,2.126678795682063,0
16.09999964,89628.5569,43133.7891,2.1307208930123953,0
16.199999637,89628.3771,43134.074400000005,2.1399075333139668,0
16.249999636,89628.2833,43134.2188,2.144710228550629,0
16.349999634,89628.0959,43134.5118,2.1533375843888445,0
16.399999633,89628.0022,43134.656200000005,2.1576992376000623,0
16.499999631,89627.7989,43134.9532,2.1629410354292835,0
16.54999963,89627.6975,43135.105500000005,2.165125525107528,0
16.649999627,89627.4944,43135.4141,2.1678952436315795,0
16.699999626,89627.385,43135.5664,2.168787175416654,0
16.799999624,89627.166,43135.883,2.1695292209945016,0
16.949999621,89626.41894392433,43136.58247482019,2.1697113584057477,0
17.049999618,89626.1950520472,43136.916316164716,2.1721074139072827,0
17.099999617,89626.07786656184,43137.08415656935,2.171687877510243,0
17.199999615,89625.86040411556,43137.43024673249,2.1666399639759493,0
17.299999613,89625.62153482386,43137.77487098231,2.1585488730725335,0
17.399999611,89625.38900017097,43138.13536765637,2.147443486983445,0
17.449999609,89625.2599321888,43138.31635517534,2.1413086146717095,0
17.499999608,89625.14934251734,43138.50434380502,2.134990773652425,0
17.599999606,89624.93334041665,43138.889806942614,2.1220267256604566,0
17.699999604,89624.69463192276,43139.2775086212,2.1101884368368182,0
17.749999603,89624.57898638934,43139.477950885564,2.1048637200624225,0
17.799999602,89624.46208784053,43139.67736937134,2.100193490802385,0
17.999999597,89624.00659684252,43140.50471643812,2.0905841824641964,0
18.049999596,89623.8892596225,43140.715440201144,2.0892406950267803,0
18.149999594,89623.6561707858,43141.14587381981,2.08677552416607,0
18.249999592,89623.4238526882,43141.58474741539,2.0843966010367487,0
18.29999959,89623.30660314293,43141.80322084699,2.083211044711809,0
18.399999588,89623.0662292342,43142.253238356614,2.08040888579727,0
18.499999586,89622.82589442751,43142.70745954031,2.0772421162102117,0
18.549999585,89622.69644810814,43142.93535180704,2.076026066476294,0
18.599999584,89622.57321958343,43143.171103694534,2.0749015585819155,0
18.649999583,89622.45983608133,43143.40329725457,2.0739834716683436,0
18.699999582,89622.33095521762,43143.635922661495,2.0729804933224085,0
18.799999579,89622.0825365051,43144.11330484363,2.07146513426719,0
18.849999578,89621.9573450811,43144.35130444952,2.0716555639002943,0
18.949999576,89621.70097990174,43144.836203710256,2.073017287904587,0
19.049999574,89621.44329656725,43145.324763934055,2.076490641078224,0
19.099999573,89621.30717576561,43145.57308036196,2.078438698967988,0
19.149999571,89621.17333981546,43145.818671721434,2.0809196005328263,0
19.19999957,89621.04227193235,43146.069490926966,2.0837570884978787,0
19.299999568,89620.76874265775,43146.56967539733,2.0924139122814247,0
19.349999567,89620.62417542032,43146.821270877765,2.097229949386774,0
19.399999566,89620.48341423203,43147.07523699407,2.102364864903346,0
19.449999565,89620.32976266394,43147.32604768126,2.107551217864539,0
19.499999564,89620.18136266392,43147.57984768125,2.1123713710927317,0
19.599999561,89619.88578569461,43148.09237371378,2.122637084700984,0
19.64999956,89619.72296167426,43148.34228622571,2.1271790945590303,0
19.699999559,89619.56848292267,43148.60143705287,2.1316005280010555,0
19.749999558,89619.41180394929,43148.85896798128,2.1351082028179382,0
19.799999557,89619.25613277988,43149.11706721841,2.138760161920677,0
19.949999554,89618.75862431664,43149.89109592673,2.149999209499583,0
19.999999552,89618.59619763248,43150.153690117986,2.154761993134146,0
20.09999955,89618.24764087585,43150.67413551884,2.1650136176240924,0
20.149999549,89618.07617291385,43150.93598793503,2.1709565860117084,0
20.199999548,89617.89320996273,43151.19937950444,2.1781861972497936,0
20.249999547,89617.71208313218,43151.4604749687,2.1862477090411523,0
20.299999546,89617.53228596043,43151.72200825125,2.1941262162402064,0
