stamp_s,x_m,y_m,yaw_rad,ot_overlap
10.599999763,89631.4163,43127.808600000004,2.215628643060058,0
10.649999761,89631.4163,43127.808600000004,2.215624165901834,0
10.69999976,89631.4161,43127.8084,2.215607110144433,0
10.749999759,89631.4161,43127.8085,2.2155956362239997,0
10.849999757,89631.41619999999,43127.8085,2.215576906816042,0
10.949999755,89631.4163,43127.8084,2.2155190433564216,0
11.049999753,89631.4083,43127.8164,2.2147128460752294,0
11.099999751,89631.4085,43127.8242,2.2141618050577527,0
11.14999975,89631.4005,43127.832,2.2129723508619064,0
11.199999749,89631.3929,43127.8438,2.2113631045331523,0
11.299999747,89631.3771,43127.8709,2.207486355732852,0
11.349999746,89631.3614,43127.886600000005,2.204651988457334,0
11.399999745,89631.3536,43127.906200000005,2.200190921661958,0
11.499999742,89631.3304,43127.945400000004,2.1906968597848344,0
11.549999741,89631.3147,43127.9688,2.1810926680597507,0
11.59999974,89631.2989,43127.996,2.1711126160141916,0
11.649999739,89631.2755,43128.0233,2.1661425683012867,0
11.749999737,89631.2444,43128.086,2.147481361588643,0
11.799999736,89631.221,43128.1172,2.140128600759255,0
11.949999732,89631.1585,43128.2306,2.120056047471598,0
11.999999731,89631.1351,43128.269400000005,2.1152434959133486,0
12.099999729,89631.0803,43128.359300000004,2.1060602616240747,0
12.149999728,89631.0568,43128.406,2.102635409829393,0
12.199999727,89631.0255,43128.4531,2.098443791372235,0
12.299999725,89630.9629,43128.5584,2.0946736808270665,0
12.349999723,89630.9396,43128.613300000005,2.09270752026733,0
12.399999722,89630.9008,43128.671800000004,2.090333910797119,0
12.449999721,89630.8694,43128.730200000005,2.088699733427751,0
12.49999972,89630.8381,43128.7892,2.086629604996674,0
12.599999718,89630.7678,43128.9181,2.0835996720837167,0
12.649999717,89630.7286,43128.9884,2.0821504869826017,0
12.699999716,89630.6896,43129.0546,2.0805568387906135,0
12.749999715,89630.6506,43129.1249,2.0795943702517175,0
12.799999713,89630.6115,43129.199100000005,2.0786520418956074,0
12.999999709,89630.4397,43129.511600000005,2.0758254437781587,0
13.049999708,89630.3928,43129.5936,2.0752308167128173,0
13.099999707,89630.346,43129.679500000006,2.0746361896474754,0
13.199999704,89630.2522,43129.8553,2.0734938571730335,0
13.249999703,89630.2052,43129.9453,2.072740927425506,0
13.299999702000001,89630.1505,43130.0351,2.0720516683877657,0
13.349999701,89630.10369999999,43130.1287,2.0714361403531543,0
13.3999997,89630.0489,43130.2266,2.0707310723222867,0
13.499999698,89629.9475,43130.421800000004,2.069810140296855,0
13.549999697,89629.8927,43130.5235,2.0695659635806813,0
13.599999696,89629.838,43130.6289,2.069523919796768,0
13.649999694,89629.7757,43130.7345,2.0698457524741967,0
13.699999693,89629.721,43130.839700000004,2.0703561354573674,0
13.799999691,89629.6036,43131.0627,2.072007031757789,0
13.84999969,89629.54119999999,43131.175500000005,2.072923030356184,0
13.949999688,89629.41619999999,43131.4063,2.074761895450307,0
14.049999685,89629.2834,43131.6446,2.077128092505104,0
14.099999684,89629.2134,43131.7696,2.078386426459991,0
14.149999683,89629.1505,43131.8905,2.0797504209643987,0
14.199999682,89629.0803,43132.0195,2.0810959318755535,0
14.29999968,89628.9318,43132.2773,2.0843055661491383,0
14.349999679,89628.8618,43132.4063,2.086203027315921,0
14.399999678,89628.7834,43132.5391,2.088124557201484,0
14.449999677,89628.713,43132.6757,2.0902010246000295,0
14.499999675,89628.6351,43132.8124,2.0923393505797256,0
14.549999674,89628.5567,43132.9492,2.094589879842787,0
14.599999673,89628.471,43133.0896,2.0970803691702495,0
14.699999671,89628.3069,43133.3749,2.102248622361912,0
14.74999967,89628.2288,43133.519400000005,2.1049417349334676,0
14.799999669,89628.1428,43133.664000000004,2.1075693979104493,0
14.949999665,89627.8771,43134.1095,2.114995540883955,0
14.999999664,89627.7834,43134.262,2.117203035934018,0
15.049999663,89627.6975,43134.4141,2.1194105309840805,0
15.099999662,89627.6038,43134.5703,2.1217104004163043,0
15.19999966,89627.4085,43134.8828,2.1256336237469444,0
15.249999659,89627.3068,43135.0428,2.127366017293427,0
15.299999658,89627.2132,43135.2032,2.1286001280992752,0
15.399999655,89627.0098,43135.5273,2.1308532597107646,0
15.449999654,89626.4985800241,43135.91331533777,2.1330121277745158,0
15.549999652,89626.28979764726,43136.25011519603,2.138722450191277,0
15.599999651000001,89626.18819764727,43136.41861519603,2.1404466016202064,0
15.699999649,89625.9717952769,43136.76752594335,2.141325039124705,0
15.749999647,89625.86058589477,43136.938162314,2.1401600340902958,0
15.799999646,89625.73839278966,43137.110776279435,2.13805319684522,0
15.999999642,89625.29749522444,43137.8399859713,2.11699836911184,0
16.09999964,89625.08734044021,43138.22033468529,2.103399467238938,0
16.149999639,89624.98204545827,43138.41824167039,2.098049864574699,0
16.249999636,89624.76518792186,43138.809508874,2.087196233418121,0
16.349999634,89624.54845913689,43139.21302821791,2.077064107286589,0
16.399999633,89624.43887290143,43139.41623564263,2.0735998053358298,0
16.499999631,89624.22416546346,43139.8364410225,2.0694655189308038,0
16.54999963,89624.11449300154,43140.04725156146,2.0683083345471216,0
16.599999628,89624.00546231035,43140.258039388355,2.067551691299708,0
16.699999626,89623.77588403948,43140.69032474663,2.0667641171652145,0
16.749999625,89623.67241174991,43140.91194459037,2.0664421238383874,0
16.799999624,89623.56367952513,43141.1311784249,2.0661708728718033,0
16.899999622,89623.32411444378,43141.573783219894,2.066461672827959,0
16.99999962,89623.09115323603,43142.02763468516,2.0667466802265775,0
17.049999618,89622.97597908253,43142.25922274606,2.0666431034641706,0
17.149999616,89622.74272608515,43142.72445177384,2.0661333697907796,0
17.199999615,89622.61029613623,43142.951177847885,2.066109225305943,0
