s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0,89656.00384140892,43128.63768368021,-2.10220632190841,-0.0191932,9.7222222,0.0000000
0.6442039776599334,89656.55281584738,43128.30059937212,-2.9085227793866943,-0.0615603,9.7222222,0.0000000
1.6067313189825003,89656.38303502204,43127.35316422704,2.852270122090733,-0.1163512,9.7222222,0.0000000
2.5798722114077037,89656.07025391077,43126.43165938552,2.7455615295496973,-0.1377167,9.7222222,0.0000000
3.5563475847052093,89655.62947207868,43125.56032963671,2.6275725283298987,-0.1607580,9.7222222,0.0000000
4.50267731501487,89655.09601066678,43124.77869104985,2.482335681311849,-0.1747273,9.7222222,0.0000000
5.447638532308126,89654.49284204828,43124.051271418655,2.3430599567455075,-0.1581496,9.7222222,0.0000000
6.353878121549585,89653.8446821556,43123.41790032156,2.22641510030436,-0.1429605,9.7222222,0.0000000
7.278744181417719,89653.14883450368,43122.808660406576,2.109737015782541,-0.1210392,9.7222222,0.0000000
8.29898541167335,89652.2914358524,43122.2557049647,2.0319274448603686,-0.0874420,9.7222222,0.0000000
9.38079197746044,89651.29824235471,43121.82690183747,1.9720687385681674,-0.0767410,9.7222222,0.0000000
10.404792180526945,89650.31449118475,43121.54263074945,1.905687890638881,-0.0757586,9.7222222,0.0000000
11.480298922096212,89649.26261013123,43121.31844109666,1.8386037314505415,-0.0764504,9.7222222,0.0000000
12.599823382583365,89648.15294121717,43121.17021856538,1.7592433679115944,-0.0797354,9.7222222,0.0000000
13.688868808645937,89647.06938998755,43121.060963483935,1.6765254774578107,-0.0693659,9.7222222,0.0000000
14.807348749065376,89645.95321743964,43120.98915665677,1.6090679154741387,-0.0674830,9.7222222,0.0000000
16.010174515296654,89644.7504710624,43120.97533725201,1.5244900868460753,-0.0839841,9.7222222,0.0000000
17.22489651869069,89643.54225387902,43121.1008792103,1.429076965912975,-0.0820056,9.7222222,0.0000000
18.38303542852544,89642.40319498217,43121.31023671311,1.3604234094673402,-0.0665756,9.7222222,0.0000000
19.38440075056035,89641.43135910064,43121.55162338951,1.29802330864017,-0.0859952,9.7222222,0.0000000
20.23442626940398,89640.59588771997,43121.70824699814,1.1978858773664114,-0.0861852,9.7222222,0.0000000
