s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
58.7951555,89617.0113740,43155.7166305,0.6715517,-0.0409828,9.7222222,0.0000000
59.9125299,89616.2939181,43156.5732416,0.6315105,-0.0616978,9.7222222,0.0000000
60.9794674,89615.7247484,43157.4756835,0.5367844,-0.0844596,9.7222222,0.0000000
61.9677158,89615.2433275,43158.3387413,0.4579304,-0.0875711,9.7222222,0.0000000
62.9963272,89614.8342183,43159.2824952,0.3601658,-0.0908516,9.7222222,0.0000000
63.9944267,89614.5299341,43160.2330811,0.2738005,-0.1041900,9.7222222,0.0000000
64.8960335,89614.3209207,43161.1101263,0.1622354,-0.1376536,9.7222222,0.0000000
65.7427991,89614.2483018,43161.9537722,0.0331308,-0.0878131,9.7222222,0.0000000
66.5993685,89614.2645756,43162.8101870,0.0126602,-0.1817883,9.7222222,0.0000000
67.1866369,89614.2300364,43163.3964388,-0.2293419,-0.3873025,9.7222222,0.0000000
67.9238985,89614.5558323,43164.0578099,-0.5003335,-0.2708497,9.7222222,0.0000000
68.7474608,89614.9781834,43164.7648278,-0.6520906,-0.2499629,9.7222222,0.0000000
69.4108337,89615.4509495,43165.2301836,-0.8720121,-0.3492391,9.7222222,0.0000000
69.9800547,89615.9184815,43165.5548777,-1.0825606,-0.3231106,9.7222222,0.0000000
70.6749251,89616.5609063,43165.8197083,-1.2804534,-0.2358839,9.7222222,0.0000000
71.4022933,89617.2746034,43165.9600684,-1.4180438,-0.1446008,9.7222222,0.0000000
72.1256735,89617.9935247,43166.0402625,-1.4902328,-0.1174249,9.7222222,0.0000000
72.7968741,89618.6639630,43166.0722429,-1.5818024,-0.1767256,9.7222222,0.0000000
73.4532144,89619.3186494,43166.0256775,-1.7248433,-0.1953455,9.7222222,0.0000000
74.1529583,89619.9996580,43165.8648399,-1.8467073,-0.2354901,9.7222222,0.0000000
74.7851391,89620.5988252,43165.6632183,-2.0384984,-0.1947576,9.7222222,0.0000000
75.4906196,89621.1827320,43165.2672947,-2.1072270,-0.0672090,9.7222222,0.0000000
76.2512640,89621.8569533,43164.9151503,-2.1370353,-0.1162270,9.7222222,0.0000000
77.0535583,89622.4972294,43164.4317015,-2.2888827,-0.1633187,9.7222222,0.0000000
77.9011122,89623.0964057,43163.8322557,-2.4064864,-0.1101789,9.7222222,0.0000000
78.8192384,89623.6800412,43163.1235066,-2.4834234,-0.1178581,9.7222222,0.0000000
79.8451063,89624.2849856,43162.2949855,-2.6356018,-0.0542304,9.7222222,0.0000000
81.0036881,89624.7315133,43161.2259089,-2.6018869,0.0420554,9.7222222,0.0000000
82.1349625,89625.4492209,43160.3514504,-2.5393010,-0.0088346,9.7222222,0.0000000
83.3624909,89626.0634087,43159.2886244,-2.6227261,-0.0410154,9.7222222,0.0000000
84.6044984,89626.6738385,43158.2069783,-2.6405901,-0.0169421,9.7222222,0.0000000
85.8972486,89627.2807701,43157.0655594,-2.6656703,-0.0182834,9.7222222,0.0000000
87.1502041,89627.8400767,43155.9443665,-2.6871342,-0.0155957,9.7222222,0.0000000
88.3802384,89628.3707045,43154.8346735,-2.7043943,-0.0140143,9.7222222,0.0000000
89.5827807,89628.8699958,43153.7406826,-2.7212251,-0.0129138,9.7222222,0.0000000
90.7545228,89629.3396103,43152.6671641,-2.7350554,0.0137539,9.7222222,0.0000000
91.9873639,89629.8208275,43151.5321191,-2.6881526,0.0575584,9.7222222,0.0000000
93.0712943,89630.3529090,43150.5877705,-2.6017058,0.0298179,9.7222222,0.0000000
94.1146903,89630.9139486,43149.7080491,-2.6247202,-0.0277764,9.7222222,0.0000000
95.1458244,89631.3767258,43148.7865965,-2.6593288,-0.0014012,9.7222222,0.0000000
96.1833229,89631.8732163,43147.8756079,-2.6276187,0.0372931,9.7222222,-5.3015125
97.1730241,89632.3732644,43147.0215233,-2.5837282,0.0412404,9.1666667,0.0000000
98.1831898,89632.9314851,43146.1796062,-2.5451434,0.0271220,9.1666667,0.0000000
99.1953492,89633.5091532,43145.3484828,-2.5288786,0.0008172,9.1666667,0.0000000
100.2122671,89634.0983705,43144.5196614,-2.5434853,-0.0263407,9.1666667,0.0000000
101.2183379,89634.6480284,43143.6770139,-2.5821655,-0.0155614,9.1666667,0.0000000
102.2191719,89635.1632520,43142.8189852,-2.5747155,0.0151436,9.1666667,0.0000000
103.2401474,89635.7333780,43141.9720216,-2.5515479,0.0041769,9.1666667,0.0000000
104.2281550,89636.2810431,43141.1496945,-2.5663242,-0.0054749,9.1666667,0.0000000
105.2627942,89636.8337403,43140.2750493,-2.5626217,0.0201732,9.1666667,0.0000000
106.2774944,89637.4022298,43139.4345517,-2.5249824,0.1006724,9.1666667,0.0000000
107.2762172,89637.9977642,43138.6328124,-2.3599255,0.0763320,9.1666667,0.0000000
108.3307744,89638.8347534,43137.9912985,-2.3682514,-0.0016628,9.1666667,0.0000000
109.2898824,89639.3884628,43137.2081677,-2.3632738,0.1280680,9.1666667,0.0000000
110.2444466,89640.1604427,43136.6467053,-2.1231713,0.2249786,9.1666667,0.0000000
111.1317110,89640.9514497,43136.2447774,-1.9489017,0.2260180,9.1666667,0.0000000
