s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0,89656.06276648506,43129.62911456095,2.6488616290322486,-0.0191932,9.7222222,0.0000000
1.228443353510052,89655.58669463395,43128.49667089111,2.788583961986286,-0.0615603,9.7222222,0.0000000
2.085771885140034,89655.4526262128,43127.64989000469,2.875119939361253,-0.1163512,9.7222222,0.0000000
2.915439935352099,89655.20342500547,43126.858531785045,2.7677601683938926,-0.1377167,9.7222222,0.0000000
3.7589887953008088,89654.84018740486,43126.097195378046,2.6494986432005874,-0.1607580,9.7222222,0.0000000
4.597426208935104,89654.38312860283,43125.39429101181,2.505260921473081,-0.1747273,9.7222222,0.0000000
5.4482444657834455,89653.85609682935,43124.726361961744,2.365945024276339,-0.1581496,9.7222222,0.0000000
6.281860425935212,89653.27320737361,43124.1304127597,2.251973284301692,-0.1429605,9.7222222,0.0000000
7.1205699195341,89652.65794934548,43123.56042050233,2.1408871777403085,-0.1210392,9.7222222,0.0000000
8.003211920719403,89651.9312182685,43123.05950250105,2.060828396248694,-0.0874420,9.7222222,0.0000000
8.955882258304142,89651.06776100532,43122.656982530374,1.9987184855259106,-0.0767410,9.7222222,0.0000000
9.895021315568249,89650.17296006916,43122.37182739098,1.9326851460666867,-0.0757586,9.7222222,0.0000000
10.909393800475025,89649.18712363661,43122.13291722712,1.8657004984141299,-0.0764504,9.7222222,0.0000000
11.98525431438665,89648.12499681604,43121.96156244191,1.7865144718764465,-0.0797354,9.7222222,0.0000000
13.050525981766594,89647.06846113823,43121.8254151436,1.7047953052574438,-0.0693659,9.7222222,0.0000000
14.142098398540433,89645.98161231376,43121.72397563551,1.6392987551943383,-0.0674830,9.7222222,0.0000000
15.291014080180089,89644.83373450453,43121.67515168033,1.5554925653210998,-0.0839841,9.7222222,0.0000000
16.442293045723265,89643.68552152676,43121.75911723384,1.4596347977894777,-0.0820056,9.7222222,0.0000000
17.55541809034808,89642.58500145214,43121.92615893624,1.3911795416355568,-0.0665756,9.7222222,0.0000000
18.55745937629352,89641.60535438717,43122.136820671796,1.3298935844758044,-0.0859952,9.7222222,0.0000000
19.404048586342693,89640.76865831816,43122.26586709246,1.230432420017097,-0.0861852,9.7222222,0.0000000
20.502211712953265,89639.70279994053,43122.53026862699,1.1616769013901629,-0.0530604,9.7222222,0.0000000
21.52446619414745,89638.7085409525,43122.76786763595,1.103230660189861,-0.0434627,9.7222222,0.0000000
22.636597017046885,89637.66567856734,43123.15422629427,1.054097326499834,-0.0403165,9.7222222,0.0000000
23.846293902952773,89636.6281832173,43123.776295385615,1.0431072151905956,-0.0377734,9.7222222,0.0000000
24.796242325467077,89635.90912892822,43124.39707146022,0.9944542767235832,-0.1032511,9.7222222,0.0000000
25.879181764140498,89635.07005769933,43125.08170077647,0.8575796488567108,-0.1420178,9.7222222,0.0000000
26.744404737977266,89634.56365030329,43125.783243607446,0.8032619307345992,-0.0232845,9.7222222,0.0000000
27.440882918961826,89634.09574734287,43126.299139601055,0.8442970566034523,-0.0036654,9.7222222,0.0000000
28.167148882031057,89633.63210170837,43126.85815210066,0.7934756620662428,-0.0472199,9.7222222,0.0000000
28.93060491872463,89633.12553507416,43127.429339780036,0.7609156357094339,-0.0398685,9.7222222,0.0000000
29.778499119084223,89632.58321788715,43128.08111937751,0.7211114275932775,-0.0390311,9.7222222,0.0000000
30.59992848005491,89632.05478863363,43128.71001421696,0.6892597739378612,-0.0223562,9.7222222,0.0000000
31.471168141047716,89631.50678395684,43129.387324648815,0.6688347665749599,-0.0464426,9.7222222,0.0000000
32.514110076366755,89630.867922477,43130.2116934316,0.6026750476843117,-0.0231639,9.7222222,0.0000000
33.39805662516093,89630.41659589135,43130.97173672919,0.6321747617857095,0.0319885,9.7222222,0.0000000
34.22783774463616,89629.86028015292,43131.58740669387,0.6523174801910514,-0.0069870,9.7222222,0.0000000
