s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
58.6204609,89614.5702856,43153.5631627,0.5642442,-0.0212794,9.7222222,0.0000000
59.6663621,89613.9882920,43154.4321810,0.5232387,-0.0674179,9.7222222,0.0000000
60.6710218,89613.5480290,43155.3352366,0.4259996,-0.0785519,9.7222222,0.0000000
61.6795752,89613.1566855,43156.2647689,0.3650970,-0.0672089,9.7222222,0.0000000
62.6914313,89612.8270630,43157.2214307,0.2902101,-0.0862154,9.7222222,0.0000000
63.6962747,89612.5801026,43158.1954537,0.1912265,-0.1071179,9.7222222,0.0000000
64.6879735,89612.4482203,43159.1783441,0.0763447,-0.1160064,9.7222222,0.0000000
65.6458643,89612.4316566,43160.1360917,-0.0349383,-0.1135388,9.7222222,0.0000000
66.6776407,89612.5176337,43161.1642796,-0.1495597,-0.1413262,9.7222222,0.0000000
67.6340079,89612.7271968,43162.0974042,-0.3159151,-0.1608822,9.7222222,0.0000000
68.6279811,89613.1209494,43163.0100606,-0.4633347,-0.1681523,9.7222222,0.0000000
69.5472368,89613.5808324,43163.8060120,-0.6376290,-0.1891858,9.7222222,0.0000000
70.5092426,89614.2339393,43164.5123452,-0.8192427,-0.1822243,9.7222222,0.0000000
71.4830858,89614.9915010,43165.1242854,-0.9903877,-0.1994896,9.7222222,0.0000000
72.4702261,89615.8658594,43165.5824811,-1.2104385,-0.2049828,9.7222222,0.0000000
73.4627506,89616.8302441,43165.8171448,-1.3961848,-0.1615733,9.7222222,0.0000000
74.4444449,89617.8060241,43165.9247417,-1.5294196,-0.1521672,9.7222222,0.0000000
75.3730834,89618.7342168,43165.8959699,-1.6868748,-0.1775427,9.7222222,0.0000000
76.2992533,89619.6416671,43165.7107008,-1.8587273,-0.1620687,9.7222222,0.0000000
77.2891860,89620.5650092,43165.3537608,-1.9974151,-0.1284818,9.7222222,0.0000000
78.2007785,89621.3696258,43164.9252831,-2.1030387,-0.1009464,9.7222222,0.0000000
79.1759277,89622.1893611,43164.3971261,-2.1878748,-0.0922647,9.7222222,0.0000000
80.1578831,89622.9642017,43163.7939192,-2.2836103,-0.1010822,9.7222222,0.0000000
81.1304982,89623.6660759,43163.1206045,-2.3854472,-0.1023229,9.7222222,0.0000000
82.0735710,89624.2769028,43162.4020805,-2.4796290,-0.0911841,9.7222222,0.0000000
83.0014909,89624.8150530,43161.6461508,-2.5560520,-0.0715952,9.7222222,0.0000000
83.9539445,89625.3155357,43160.8357898,-2.6142547,-0.0453477,9.7222222,0.0000000
84.9105240,89625.7754234,43159.9970123,-2.6426223,-0.0284129,9.7222222,0.0000000
85.8857138,89626.2399263,43159.1395556,-2.6691418,-0.0283163,9.7222222,0.0000000
86.8477030,89626.6567178,43158.2725445,-2.6974759,-0.0296708,9.7222222,0.0000000
87.8145650,89627.0686708,43157.3978350,-2.7263724,-0.0169250,9.7222222,0.0000000
88.8660943,89627.4706871,43156.4261885,-2.7316372,0.0072668,9.7222222,0.0000000
89.8638795,89627.8853289,43155.5186382,-2.7114803,0.0116722,9.7222222,0.0000000
90.8716234,89628.3069374,43154.6033273,-2.7082281,0.0031363,9.7222222,0.0000000
91.8897637,89628.7360505,43153.6800335,-2.7051265,0.0025866,9.7222222,0.0000000
92.9168581,89629.1715381,43152.7498327,-2.7029379,0.0015184,9.7222222,0.0000000
93.9529468,89629.6123294,43151.8121852,-2.7019938,0.0003879,9.7222222,0.0000000
94.9975243,89630.0570207,43150.8669912,-2.7021309,-0.0003890,9.7222222,0.0000000
96.0494032,89630.5042718,43149.9149326,-2.7028092,-0.0005149,9.7222222,0.0000000
97.1072068,89630.9532949,43148.9571607,-2.7032172,-0.0044574,9.7222222,0.0000000
98.1693579,89631.4041271,43147.9954356,-2.7122587,-0.0016560,9.7222222,-4.9917346
99.2204782,89631.8329402,43147.0357621,-2.7067168,0.0111805,9.1666667,0.0000000
100.2918766,89632.2982453,43146.0706789,-2.6885278,0.0129780,9.1666667,0.0000000
101.3638150,89632.7711216,43145.1086810,-2.6789005,0.0016888,9.1666667,0.0000000
102.4360343,89633.2552928,43144.1520031,-2.6849068,0.0020360,9.1666667,0.0000000
103.4963916,89633.7114703,43143.1947886,-2.6745585,0.0194299,9.1666667,0.0000000
104.5554512,89634.2093013,43142.2600312,-2.6437268,0.0288390,9.1666667,0.0000000
105.6045023,89634.7181651,43141.3426622,-2.6137628,0.0319166,9.1666667,0.0000000
106.6129810,89635.2453497,43140.4829496,-2.5780574,0.0417525,9.1666667,0.0000000
107.6621230,89635.8172053,43139.6033587,-2.5278519,0.0618802,9.1666667,0.0000000
108.6889574,89636.4401175,43138.7870443,-2.4495957,0.0957053,9.1666667,0.0000000
109.7030311,89637.1183957,43138.0331980,-2.3325263,0.1028929,9.1666667,0.0000000
110.7738141,89637.9446437,43137.3521029,-2.2350788,0.0923291,9.1666667,0.0000000
111.7739612,89638.7484114,43136.7569125,-2.1413192,0.1169905,9.1666667,0.0000000
112.7789136,89639.6284193,43136.2716131,-2.0005012,0.1531682,9.1666667,0.0000000
113.7326248,89640.5238381,43135.9432986,-1.8413142,0.1862273,9.1666667,0.0000000
114.6901783,89641.4641737,43135.7625295,-1.6445716,0.2248125,9.1666667,0.0000000
115.6586708,89642.4318501,43135.8022786,-1.4083150,0.2409636,9.1666667,0.0000000
116.6146286,89643.3491092,43136.0715202,-1.1808490,0.2177711,9.1666667,0.0000000
117.6081947,89644.2255694,43136.5394853,-0.9837650,0.1903808,9.1666667,0.0000000
118.6405941,89645.0283356,43137.1886501,-0.7951442,0.1781372,9.1666667,0.0000000
119.6792471,89645.6975088,43137.9830097,-0.6148335,0.1572107,9.1666667,0.0000000
120.7280819,89646.2281168,43138.8877250,-0.4669688,0.1370331,9.1666667,0.0000000
121.7839275,89646.6431028,43139.8585990,-0.3264226,0.1417837,9.1666667,0.0000000
122.8105015,89646.8937962,43140.8540924,-0.1717156,0.1365110,9.1666667,0.0000000
123.8875859,89647.0015986,43141.9257684,-0.0392500,0.1180981,9.1666667,0.0000000
124.9121018,89646.9761015,43142.9499670,0.0764794,0.1054942,9.1666667,0.0000000
125.9522457,89646.8440552,43143.9816952,0.1785596,0.0959651,9.1666667,0.0000000
127.0237384,89646.6015272,43145.0253794,0.2791228,0.0940559,9.1666667,0.0000000
128.0584443,89646.2645463,43146.0036739,0.3766600,0.0868115,9.1666667,0.0000000
129.0745221,89645.8479900,43146.9304398,0.4571544,0.0594059,9.1666667,0.0000000
130.0849680,89645.3705885,43147.8209950,0.4970475,0.0417061,9.1666667,0.0000000
131.1496321,89644.8585220,43148.7544282,0.5436992,0.0493050,9.1666667,0.0000000
132.1373411,89644.3098914,43149.5757526,0.5982396,0.0337510,9.1666667,0.0000000
133.1121679,89643.7532927,43150.3760557,0.6099367,0.0059954,9.1666667,0.0000000
134.0864019,89643.1934419,43151.1733630,0.6099251,-0.0026123,9.1666667,0.0000000
